track,mode,side,entry_price,exit_price,margin_roe,dollar_pnl,result_code,leverage
Track 3: Fixed 20X (Conservative),3,SHORT,2407.429931640625,2396.709181237248,0.08106386235774019,228.96364950442054,1,20.0
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,LONG,2384.0,2393.0,0.03798617478377067,86.7143743763281,1,11.254603385925293
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,2322.419921875,2333.1624203748775,-0.05800329030507581,-117.81415317840015,-1,10.891486167907715
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,2268.75,2243.080078125,0.11487730969998461,275.7405822983787,0,11.03044605255127
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,2249.75,2260.1563592343746,-0.0551053226473312,-138.44658784939978,-1,10.34732437133789
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,2184.330078125,2186.030029296875,-0.018917490658947718,-49.30334245308813,0,11.272164344787598
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,2120.31005859375,2113.712794833743,0.031285989530825294,69.7765277730863,1,11.538421630859375
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,2000.18994140625,1994.664691393487,0.025035586291155768,56.41626639811742,1,10.597689628601074
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1878.6800537109375,1870.0930346357666,0.042449650778643454,95.26660911404672,1,10.177886962890625
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,LONG,1563.719970703125,1569.9299926757812,0.039796921108262794,86.88767351516998,1,11.143497467041016
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1621.0699462890625,1628.568306642494,-0.060243521211682395,-141.1948059179173,-1,11.312142372131348
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,LONG,1632.4599609375,1641.7900085449219,0.05875579564044583,132.61685071316674,1,11.054025650024414
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,LONG,1638.75,1631.171703046875,-0.0648761303488604,-145.33904637854022,-1,12.184597969055176
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,LONG,1805.3499755859375,1816.3374938964844,0.054657589754974235,123.58797921301289,1,9.612512588500977
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,SHORT,1740.969970703125,1731.6717732243753,0.049915166216121375,104.35579515871987,1,10.102619171142578
Track 4: Transformer Dynamic Leverage (0X-75X) ★★★,0,LONG,1670.2099609375,1662.4861793612672,-0.0591221533429019,-125.78732641338871,-1,11.103924751281738
