trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
85,SOLUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-13 08:15:00+00:00,145.7119,145.4173,0.9345,2024-08-13 08:15:00+00:00,144.84,2024-08-13 08:30:00+00:00,145.101,0.0,0.024265,2024-08-13 08:45:00+00:00,145.043,41.770631,6058.54,145.8988,144.8776,7,2024-08-13 11:30:00+00:00,145.0514,TRAILING_STOP,11,-0.35,3.0293,3.0294,9.6941,-6.41,-0.179
86,BNBUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-14 14:30:00+00:00,525.7307,524.3974,3.6078,2024-08-14 14:30:00+00:00,520.61,2024-08-14 15:00:00+00:00,521.44,0.0,0.157387,2024-08-14 15:15:00+00:00,521.2214,6.827893,3558.84,526.4523,526.4523,0,2024-08-14 15:45:00+00:00,527.084,STOP_LOSS,2,-40.03,1.7794,1.7994,5.7422,-43.61,-1.221
87,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-16 14:00:00+00:00,2604.9185,2599.1038,21.054,2024-08-16 14:00:00+00:00,2583.15,2024-08-16 14:30:00+00:00,2596.01,0.0,0.46378,2024-08-16 14:45:00+00:00,2594.9616,2.505524,6501.74,2609.1293,2592.0026,4,2024-08-16 16:15:00+00:00,2595.113,TRAILING_STOP,6,-0.38,3.2509,3.2511,10.4032,-6.88,-0.194
88,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-16 15:00:00+00:00,58241.6398,58191.6223,415.76,2024-08-16 15:00:00+00:00,58134.0,2024-08-16 15:15:00+00:00,57814.8,0.0,37.722255,2024-08-16 15:30:00+00:00,57791.6741,0.067089,3877.17,58324.7919,58324.7919,0,2024-08-16 16:15:00+00:00,58394.7816,STOP_LOSS,3,-40.46,1.9386,1.9588,6.252,-44.36,-1.24
89,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-17 06:45:00+00:00,2600.1086,2597.8468,4.718,2024-08-17 06:45:00+00:00,2595.88,2024-08-17 07:00:00+00:00,2591.25,0.0,0.076842,2024-08-17 07:15:00+00:00,2590.2135,3.251548,8422.2,2601.0522,2601.0522,0,2024-08-17 09:15:00+00:00,2604.1734,STOP_LOSS,8,-45.39,4.2111,4.2338,13.53,-53.84,-1.528
90,SOLUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-22 15:30:00+00:00,143.0202,142.7718,0.6919,2024-08-22 15:30:00+00:00,142.315,2024-08-22 15:45:00+00:00,142.552,0.0,0.050762,2024-08-22 16:00:00+00:00,142.495,52.698112,7509.22,143.1586,143.1586,0,2024-08-22 16:30:00+00:00,143.3304,STOP_LOSS,2,-44.03,3.7546,3.7766,12.0676,-51.56,-1.474
91,BNBUSDT,SHORT,futures,STRICT_SUPPORT,2024-08-25 00:45:00+00:00,582.0809,581.1355,2.9984,2024-08-25 00:45:00+00:00,577.4,2024-08-25 01:15:00+00:00,579.85,0.0,0.135467,2024-08-25 01:30:00+00:00,579.6081,11.298267,6548.57,582.6806,579.1408,10,2024-08-25 05:15:00+00:00,579.8358,TRAILING_STOP,15,-2.57,3.2743,3.2756,10.4808,-9.12,-0.263
92,BNBUSDT,SHORT,futures,STRICT_SUPPORT,2024-09-06 13:45:00+00:00,505.0189,504.5722,3.2081,2024-09-06 13:45:00+00:00,503.32,2024-09-06 14:00:00+00:00,497.58,0.0,0.282202,2024-09-06 14:15:00+00:00,497.381,4.18728,2082.67,505.6605,480.3935,20,2024-09-06 21:30:00+00:00,480.97,TRAILING_STOP,29,68.72,1.0413,1.007,3.2498,66.67,1.923
93,SOLUSDT,SHORT,futures,STRICT_SUPPORT,2024-09-07 21:30:00+00:00,127.5845,127.3476,0.5752,2024-09-07 21:30:00+00:00,127.341,2024-09-07 21:45:00+00:00,126.85,0.0,0.006565,2024-09-07 22:00:00+00:00,126.7993,38.880485,4930.02,127.6995,127.6995,0,2024-09-07 23:45:00+00:00,127.8527,STOP_LOSS,7,-40.96,2.465,2.4855,7.9372,-45.91,-1.312
94,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-09-18 20:00:00+00:00,2315.3614,2311.786,19.7249,2024-09-18 20:00:00+00:00,2294.31,2024-09-18 20:15:00+00:00,2309.04,0.0,1.885977,2024-09-18 20:30:00+00:00,2308.1164,3.107468,7172.4,2319.3064,2319.3064,0,2024-09-18 20:45:00+00:00,2324.3559,STOP_LOSS,1,-50.46,3.5862,3.6114,11.5364,-57.66,-1.658
95,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-09-24 00:45:00+00:00,63330.6862,63244.1617,228.4704,2024-09-24 00:45:00+00:00,62886.1,2024-09-24 01:15:00+00:00,62900.3,0.0,13.661742,2024-09-24 01:30:00+00:00,62875.1399,0.068798,4325.68,63376.3803,63376.3803,0,2024-09-24 06:30:00+00:00,63452.432,STOP_LOSS,20,-39.72,2.1628,2.1827,6.9687,-44.06,-1.278
96,BTCUSDT,SHORT,futures,STRICT_SUPPORT,2024-09-24 14:30:00+00:00,63359.9059,63337.2869,260.3481,2024-09-24 14:30:00+00:00,62893.0,2024-09-24 15:00:00+00:00,63215.6,0.0,4.286904,2024-09-24 15:15:00+00:00,63190.3138,0.154578,9767.81,63411.9755,63386.9123,2,2024-09-24 17:15:00+00:00,63462.9766,TRAILING_STOP,8,-42.15,4.8839,4.905,15.6791,-51.94,-1.516
97,BNBUSDT,SHORT,futures,STRICT_SUPPORT,2024-09-29 22:30:00+00:00,599.082,598.5393,1.6649,2024-09-29 22:30:00+00:00,598.31,2024-09-29 22:45:00+00:00,597.38,0.0,0.019288,2024-09-29 23:00:00+00:00,597.1311,14.888491,8890.38,599.415,579.4617,10,2024-09-30 03:30:00+00:00,580.1571,TRAILING_STOP,18,252.72,4.4452,4.3188,13.9213,243.95,7.174
98,ETHUSDT,SHORT,futures,STRICT_SUPPORT,2024-09-30 00:30:00+00:00,2659.7423,2655.0857,11.0679,2024-09-30 00:30:00+00:00,2641.15,2024-09-30 01:00:00+00:00,2636.67,0.0,0.145654,2024-09-30 01:15:00+00:00,2635.6153,1.319894,3478.73,2661.9558,2625.9296,5,2024-09-30 03:30:00+00:00,2629.0807,TRAILING_STOP,9,8.62,1.7394,1.7351,5.5556,5.15,0.148
