trade_id,symbol,direction,market_type,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
1616,BNBUSDT,LONG,spot,2024-06-03 19:00:00+00:00,625.1491,623.8,2.1891,2024-06-03 19:00:00+00:00,625.4,2024-06-03 19:00:00+00:00,625.4,2024-06-03 19:15:00+00:00,625.7127,0.096447,60.35,623.3622,623.3622,0,2024-06-03 21:00:00+00:00,622.4271,STOP_LOSS,7,-0.32,0.0483,0.048,0.1202,-0.41,-1.823
1618,BNBUSDT,LONG,spot,2024-06-03 21:30:00+00:00,625.0344,623.5,1.8985,2024-06-03 21:30:00+00:00,625.3,2024-06-03 21:30:00+00:00,625.3,2024-06-03 21:45:00+00:00,625.7127,0.095021,59.46,623.1203,625.5535,3,2024-06-04 00:15:00+00:00,624.6151,TRAILING_STOP,10,-0.1,0.0476,0.0475,0.1188,-0.2,-0.809
1619,BNBUSDT,LONG,spot,2024-06-04 00:00:00+00:00,626.4262,626.3,1.8544,2024-06-04 00:00:00+00:00,628.9,2024-06-04 00:00:00+00:00,628.9,2024-06-04 00:15:00+00:00,629.2144,0.091097,57.32,625.9291,625.9291,0,2024-06-04 00:30:00+00:00,624.6616,STOP_LOSS,1,-0.41,0.0459,0.0455,0.114,-0.51,-1.691
1621,BNBUSDT,LONG,spot,2024-06-04 00:30:00+00:00,626.4573,625.0,2.1804,2024-06-04 00:30:00+00:00,627.5,2024-06-04 00:30:00+00:00,627.5,2024-06-04 00:45:00+00:00,627.9138,0.088587,55.62,624.5639,627.721,3,2024-06-04 02:30:00+00:00,626.7794,TRAILING_STOP,7,-0.1,0.0445,0.0444,0.1111,-0.19,-0.638
1620,BTCUSDT,LONG,spot,2024-06-04 00:30:00+00:00,68994.0365,68770.19,177.3652,2024-06-04 00:30:00+00:00,69001.62,2024-06-04 00:30:00+00:00,69001.62,2024-06-04 00:45:00+00:00,69036.1208,0.000851,58.76,68734.717,69115.819,5,2024-06-04 04:45:00+00:00,69012.1453,TRAILING_STOP,16,-0.02,0.047,0.047,0.1175,-0.11,-0.446
1623,SOLUSDT,LONG,spot,2024-06-04 05:00:00+00:00,166.1771,165.9,0.5137,2024-06-04 05:00:00+00:00,166.38,2024-06-04 05:00:00+00:00,166.38,2024-06-04 05:15:00+00:00,166.4732,0.35092,58.42,165.7973,165.7973,0,2024-06-04 05:30:00+00:00,165.5486,STOP_LOSS,1,-0.32,0.0467,0.0465,0.1164,-0.42,-1.761
1622,BNBUSDT,LONG,spot,2024-06-04 03:00:00+00:00,628.4117,628.2,1.9594,2024-06-04 03:00:00+00:00,631.3,2024-06-04 03:00:00+00:00,631.3,2024-06-04 03:15:00+00:00,631.7157,0.075833,47.9,627.8081,627.8081,0,2024-06-04 07:00:00+00:00,626.8664,STOP_LOSS,15,-0.37,0.0383,0.038,0.0953,-0.44,-1.499
1625,SOLUSDT,LONG,spot,2024-06-04 07:00:00+00:00,165.8798,165.51,0.4919,2024-06-04 07:00:00+00:00,165.89,2024-06-04 07:00:00+00:00,165.89,2024-06-04 07:15:00+00:00,165.9729,0.346791,57.56,165.4116,165.4116,0,2024-06-04 07:30:00+00:00,165.1635,STOP_LOSS,1,-0.28,0.046,0.0458,0.1147,-0.37,-1.914
1626,BNBUSDT,LONG,spot,2024-06-04 07:15:00+00:00,630.4727,631.1,2.3098,2024-06-04 07:15:00+00:00,632.6,2024-06-04 07:15:00+00:00,632.6,2024-06-04 07:30:00+00:00,632.9163,0.090358,57.19,630.638,630.638,0,2024-06-04 07:45:00+00:00,627.8568,STOP_LOSS,1,-0.46,0.0458,0.0454,0.1137,-0.55,-2.663
1624,BTCUSDT,LONG,spot,2024-06-04 07:00:00+00:00,69044.6308,68894.21,133.4665,2024-06-04 07:00:00+00:00,69052.2,2024-06-04 07:00:00+00:00,69052.2,2024-06-04 07:15:00+00:00,69086.7261,0.000834,57.6,68867.5167,68867.5167,0,2024-06-04 08:45:00+00:00,68764.2154,STOP_LOSS,6,-0.27,0.0461,0.0459,0.1148,-0.36,-1.974
1627,BNBUSDT,LONG,spot,2024-06-04 08:00:00+00:00,630.1645,627.8,2.6518,2024-06-04 08:00:00+00:00,630.3,2024-06-04 08:00:00+00:00,630.3,2024-06-04 08:15:00+00:00,630.6151,0.085545,53.95,627.2696,627.2696,0,2024-06-04 08:45:00+00:00,626.3287,STOP_LOSS,2,-0.37,0.0432,0.0429,0.1073,-0.45,-1.582
1628,BNBUSDT,LONG,spot,2024-06-04 10:00:00+00:00,629.6416,625.4,3.4805,2024-06-04 10:00:00+00:00,635.5,2024-06-04 10:00:00+00:00,635.5,2024-06-04 10:15:00+00:00,635.8177,0.025397,16.15,624.7039,645.9033,11,2024-06-04 13:30:00+00:00,644.9344,TRAILING_STOP,13,0.23,0.0129,0.0131,0.0326,0.21,0.728
1629,BTCUSDT,LONG,spot,2024-06-04 10:30:00+00:00,68915.1288,68789.8,146.6875,2024-06-04 10:30:00+00:00,68940.38,2024-06-04 10:30:00+00:00,68940.38,2024-06-04 10:45:00+00:00,68974.8402,0.00081,55.87,68760.4625,69536.971,6,2024-06-04 14:30:00+00:00,69432.6656,TRAILING_STOP,15,0.37,0.0447,0.045,0.1123,0.28,1.619
1630,SOLUSDT,LONG,spot,2024-06-04 13:15:00+00:00,165.5675,165.58,0.4946,2024-06-04 13:15:00+00:00,166.14,2024-06-04 13:15:00+00:00,166.14,2024-06-04 13:30:00+00:00,166.2131,0.337191,56.05,165.4811,166.0862,2,2024-06-04 14:45:00+00:00,165.8371,TRAILING_STOP,5,-0.13,0.0448,0.0447,0.1119,-0.22,-0.877
1631,ETHUSDT,LONG,spot,2024-06-04 15:00:00+00:00,3773.6908,3771.47,14.715,2024-06-04 15:00:00+00:00,3793.2,2024-06-04 15:00:00+00:00,3793.2,2024-06-04 15:15:00+00:00,3795.0966,0.010674,40.51,3768.527,3807.0629,10,2024-06-04 19:00:00+00:00,3801.3523,TRAILING_STOP,15,0.07,0.0324,0.0325,0.0811,0.0,0.007
