trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
37,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-07-26 15:00:00+00:00,577.681,577.088,1.4662,2024-07-26 15:00:00+00:00,578.0,2024-07-26 15:05:00+00:00,578.2,0.119,0.0,2024-07-26 15:10:00+00:00,578.4891,16.168388,9353.24,576.7948,581.0086,7,2024-07-26 19:50:00+00:00,580.137,TRAILING_STOP,56,26.64,7.4826,7.5039,18.7464,11.66,0.426
38,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-08-02 08:40:00+00:00,570.51,569.974,1.1598,2024-08-02 08:40:00+00:00,571.0,2024-08-02 09:15:00+00:00,571.5,0.09,0.0,2024-08-02 09:20:00+00:00,571.7858,16.378124,9364.78,569.742,573.6928,6,2024-08-02 11:35:00+00:00,572.8323,TRAILING_STOP,27,17.14,7.4918,7.5055,18.7553,2.14,0.064
39,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-08-13 12:10:00+00:00,145.1388,144.8756,0.5305,2024-08-13 12:10:00+00:00,145.96,2024-08-13 12:30:00+00:00,145.93,0.0012,0.0,2024-08-13 12:35:00+00:00,146.013,38.044963,5555.06,144.7695,146.4185,3,2024-08-13 14:20:00+00:00,146.1989,TRAILING_STOP,21,7.07,4.444,4.4497,11.1207,-1.82,-0.038
40,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-08-17 08:50:00+00:00,139.2696,139.204,0.2722,2024-08-17 08:50:00+00:00,139.42,2024-08-17 08:55:00+00:00,139.49,0.0204,0.0,2024-08-17 09:00:00+00:00,139.5597,67.104575,9365.1,139.1496,139.1496,0,2024-08-17 09:10:00+00:00,138.9408,STOP_LOSS,2,-41.53,7.4921,7.4589,18.6679,-56.48,-2.052
42,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-08-23 16:05:00+00:00,144.4712,144.341,0.5175,2024-08-23 16:05:00+00:00,144.74,2024-08-23 16:10:00+00:00,144.54,0.0088,0.0,2024-08-23 16:15:00+00:00,144.6123,64.322385,9301.81,144.2375,144.2375,0,2024-08-23 16:25:00+00:00,144.0211,STOP_LOSS,2,-38.02,7.4414,7.411,18.5466,-52.88,-2.193
41,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-08-23 15:30:00+00:00,2665.7833,2661.4914,10.4121,2024-08-23 15:30:00+00:00,2667.99,2024-08-23 16:00:00+00:00,2668.13,0.0067,0.0,2024-08-23 16:05:00+00:00,2669.4441,3.48731,9309.18,2659.409,2676.6033,9,2024-08-23 17:30:00+00:00,2672.5884,TRAILING_STOP,17,10.97,7.4473,7.4561,18.6348,-3.94,-0.113
43,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-09-09 15:30:00+00:00,55257.27,55197.72,205.4001,2024-09-09 15:30:00+00:00,55323.01,2024-09-09 15:35:00+00:00,55347.99,8.77,0.0,2024-09-09 15:40:00+00:00,55375.664,0.167094,9252.93,55156.64,56430.4937,14,2024-09-09 17:40:00+00:00,56345.848,TRAILING_STOP,24,162.11,7.4023,7.532,18.749,147.18,4.022
44,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-09-19 07:45:00+00:00,62041.0455,61999.7477,95.37,2024-09-19 07:45:00+00:00,62153.99,2024-09-19 08:00:00+00:00,62107.42,3.0745,0.0,2024-09-19 08:05:00+00:00,62138.4737,0.151253,9398.64,61980.6737,61980.6737,0,2024-09-19 08:35:00+00:00,61887.7027,STOP_LOSS,6,-37.93,7.5189,7.4886,18.7404,-52.94,-2.218
45,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-09-20 12:15:00+00:00,2547.9896,2547.3102,5.2755,2024-09-20 12:15:00+00:00,2552.61,2024-09-20 12:35:00+00:00,2551.44,0.3804,0.0,2024-09-20 12:40:00+00:00,2552.7057,3.661304,9346.23,2546.2551,2546.2551,0,2024-09-20 13:05:00+00:00,2542.4357,STOP_LOSS,5,-37.6,7.477,7.4469,18.6361,-52.53,-2.224
46,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-09-26 14:45:00+00:00,595.044,594.56,1.591,2024-09-26 14:45:00+00:00,596.2,2024-09-26 14:50:00+00:00,595.6,0.056,0.0,2024-09-26 14:55:00+00:00,595.8978,15.597022,9294.23,594.2418,594.2418,0,2024-09-26 15:00:00+00:00,592.6098,STOP_LOSS,1,-51.28,7.4354,7.3944,18.5115,-66.11,-2.56
