trade_id,symbol,direction,market_type,pullback_mode,formation_time,U,L,frozen_atr,breakout_time,breakout_price,confirm_time,confirm_price,low_distance_to_u,high_distance_to_l,entry_time,entry_price,units,nominal_size_usdt,initial_sl,final_sl,sl_updates,exit_time,exit_price,exit_reason,bars_held,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,net_pnl_usdt,net_r_multiple
176,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-11-13 01:45:00+00:00,3267.6777,3264.0321,15.3391,2024-11-13 01:45:00+00:00,3284.0,2024-11-13 01:55:00+00:00,3271.01,0.232319,0.0,2024-11-13 02:00:00+00:00,3272.6455,1.797767,5883.45,3260.9643,3260.9643,0,2024-11-13 02:10:00+00:00,3256.0728,STOP_LOSS,2,-29.79,4.7068,4.6829,11.7222,-39.18,-1.866
177,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-11-14 02:15:00+00:00,3195.4295,3190.2325,12.5458,2024-11-14 02:15:00+00:00,3204.31,2024-11-14 02:20:00+00:00,3196.31,0.700484,0.0,2024-11-14 02:25:00+00:00,3197.8481,1.827686,5844.66,3187.7233,3187.7233,0,2024-11-14 02:30:00+00:00,3182.9418,STOP_LOSS,1,-27.24,4.6757,4.6539,11.6485,-36.57,-1.976
178,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-11-16 17:00:00+00:00,625.0164,624.4347,1.9638,2024-11-16 17:00:00+00:00,625.22,2024-11-16 17:05:00+00:00,626.3,0.193646,0.0,2024-11-16 17:10:00+00:00,626.6131,9.269602,5808.45,624.0419,628.4022,8,2024-11-16 18:40:00+00:00,627.4596,TRAILING_STOP,18,7.85,4.6468,4.653,11.6287,-1.45,-0.061
179,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-11-17 22:10:00+00:00,234.4357,234.1718,1.3374,2024-11-17 22:10:00+00:00,234.56,2024-11-17 22:15:00+00:00,235.19,0.104266,0.0,2024-11-17 22:20:00+00:00,235.3076,20.899887,4917.9,233.9043,233.9043,0,2024-11-17 22:40:00+00:00,233.5535,STOP_LOSS,4,-36.66,3.9343,3.905,9.7808,-44.5,-1.517
181,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-11-19 02:35:00+00:00,239.6143,239.5117,0.6706,2024-11-19 02:35:00+00:00,239.76,2024-11-19 02:40:00+00:00,239.92,0.055667,0.0,2024-11-19 02:45:00+00:00,240.03,23.990321,5758.4,239.3776,241.9715,8,2024-11-19 03:30:00+00:00,241.6085,TRAILING_STOP,9,37.87,4.6067,4.637,11.5736,28.63,1.829
180,BTCUSDT,LONG,spot,STRICT_SUPPORT,2024-11-19 02:15:00+00:00,90955.9622,90910.6019,173.7938,2024-11-19 02:15:00+00:00,91129.5,2024-11-19 02:30:00+00:00,91075.99,11.847834,0.0,2024-11-19 02:35:00+00:00,91121.528,0.063245,5762.96,90875.8431,91254.3007,4,2024-11-19 03:40:00+00:00,91117.4192,TRAILING_STOP,13,-0.26,4.6104,4.6102,11.5255,-9.48,-0.61
182,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-11-19 05:35:00+00:00,240.5938,240.1981,0.8044,2024-11-19 05:35:00+00:00,241.45,2024-11-19 06:00:00+00:00,240.86,0.066214,0.0,2024-11-19 06:05:00+00:00,240.9804,23.993296,5781.91,240.0373,243.2826,10,2024-11-19 07:15:00+00:00,242.9177,TRAILING_STOP,14,46.48,4.6255,4.6627,11.6336,37.19,1.644
183,SOLUSDT,LONG,spot,STRICT_SUPPORT,2024-11-19 17:55:00+00:00,242.0884,241.6947,0.9828,2024-11-19 17:55:00+00:00,242.99,2024-11-19 18:20:00+00:00,242.27,0.001594,0.0,2024-11-19 18:25:00+00:00,242.4011,24.00457,5818.74,241.4981,242.2507,3,2024-11-19 19:00:00+00:00,241.8874,TRAILING_STOP,7,-12.33,4.655,4.6451,11.619,-21.63,-0.998
184,ETHUSDT,LONG,spot,STRICT_SUPPORT,2024-11-20 01:05:00+00:00,3106.8419,3104.4646,8.5774,2024-11-20 01:05:00+00:00,3114.51,2024-11-20 01:15:00+00:00,3109.81,0.778109,0.0,2024-11-20 01:20:00+00:00,3111.3749,1.863266,5797.32,3102.7491,3102.7491,0,2024-11-20 01:25:00+00:00,3096.4683,STOP_LOSS,1,-27.77,4.6379,4.6156,11.553,-37.03,-2.304
185,BNBUSDT,LONG,spot,STRICT_SUPPORT,2024-11-20 15:50:00+00:00,614.2061,613.6544,1.3888,2024-11-20 15:50:00+00:00,614.61,2024-11-20 15:55:00+00:00,615.12,0.123929,0.0,2024-11-20 16:00:00+00:00,615.4276,9.36042,5760.66,613.3767,613.3767,0,2024-11-20 16:05:00+00:00,612.4566,STOP_LOSS,1,-27.81,4.6085,4.5863,11.4796,-37.0,-1.928
