date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover
2025-03-31,151.830,153.360,154.260,149.382,54603464,8383322368.000,3.19,0.20,0.310,0.94
2025-04-01,152.340,155.790,156.820,152.340,30672899,4801863680.000,2.92,1.58,2.430,0.53
2025-04-02,153.870,155.760,157.125,153.420,25041730,3924471152.000,2.38,-0.02,-0.030,0.43
2025-04-03,149.830,149.440,151.500,149.110,46883371,7096887552.000,1.53,-4.06,-6.320,0.80
2025-04-04,146.730,144.320,149.790,144.100,62259539,9194103040.000,3.81,-3.43,-5.120,1.07
2025-04-07,140.270,145.470,151.570,139.250,76794136,11204600320.000,8.54,0.80,1.150,1.32
2025-04-08,149.940,143.420,150.960,141.750,52200208,7712463360.000,6.33,-1.41,-2.050,0.90
2025-04-09,143.135,157.430,158.270,142.625,70406232,10782774272.000,10.91,9.77,14.010,1.21
2025-04-10,155.260,151.540,156.440,148.650,48021972,7384614912.000,4.95,-3.74,-5.890,0.82
2025-04-11,151.620,155.860,156.390,151.540,33636239,5254575360.000,3.20,2.85,4.320,0.58
2025-04-14,158.715,157.790,160.440,156.280,30332957,4841726720.000,2.67,1.24,1.930,0.52
2025-04-15,157.845,155.030,158.370,153.930,27551534,4321679360.000,2.81,-1.75,-2.760,0.47
2025-04-16,151.820,152.050,154.610,150.230,28187421,4327392000.000,2.83,-1.92,-2.980,0.48
2025-04-17,153.010,149.880,153.400,147.220,33046576,5002589440.000,4.06,-1.43,-2.170,0.57
2025-04-21,147.600,146.390,147.665,144.820,26049115,3837787872.000,1.90,-2.33,-3.490,0.45
2025-04-22,147.610,150.190,150.910,147.260,26971774,4063508576.000,2.49,2.60,3.800,0.46
2025-04-23,154.330,154.070,156.245,152.530,31128833,4847172352.000,2.47,2.58,3.880,0.53
2025-04-24,154.870,158.000,158.310,154.510,45893951,7273406208.000,2.47,2.55,3.930,0.79
2025-04-25,163.790,160.680,164.820,159.760,56033995,9130450688.000,3.20,1.70,2.680,0.96
2025-04-28,161.145,159.330,161.870,157.320,29745782,4769803264.000,2.83,-0.84,-1.350,0.51
2025-04-29,159.045,158.880,159.460,156.240,26808958,4280422800.000,2.02,-0.28,-0.450,0.46
2025-04-30,156.695,157.520,157.990,154.120,34981059,5518403072.000,2.44,-0.86,-1.360,0.60
2025-05-01,159.170,160.020,160.670,157.630,30203248,4861406208.000,1.93,1.59,2.500,0.52
2025-05-02,162.125,162.750,163.690,160.590,25715005,4213166032.000,1.94,1.71,2.730,0.44
2025-05-05,161.720,162.930,164.110,161.440,21341814,3510938032.000,1.64,0.11,0.180,0.37
2025-05-06,160.890,161.950,163.520,159.910,21277210,3474160576.000,2.22,-0.60,-0.980,0.37
2025-05-07,162.800,150.100,163.720,146.560,127747554,19460182016.000,10.60,-7.32,-11.850,2.19
2025-05-08,153.720,153.000,154.650,151.620,57498692,8875681024.000,2.02,1.93,2.900,0.99
2025-05-09,152.890,151.470,153.770,150.920,32435281,4967213824.000,1.86,-1.00,-1.530,0.56
2025-05-12,156.205,157.180,157.820,154.970,44138818,6967104000.000,1.88,3.77,5.710,0.76
2025-05-13,157.510,158.250,159.290,154.880,42382126,6743444480.000,2.81,0.68,1.070,0.73
2025-05-14,158.680,164.090,165.720,158.330,48755869,8008258560.000,4.67,3.69,5.840,0.84
2025-05-15,164.560,162.680,164.925,161.093,33146669,5447518720.000,2.34,-0.86,-1.410,0.57
2025-05-16,166.445,164.910,168.070,164.340,42846925,7157318144.000,2.29,1.37,2.230,0.74
2025-05-19,163.230,165.260,165.360,162.940,30426097,5036344064.000,1.47,0.21,0.350,0.52
2025-05-20,165.150,162.700,167.220,161.620,46607656,7709431296.000,3.39,-1.55,-2.560,0.80
2025-05-21,162.410,167.280,171.860,162.280,73415956,12471864320.000,5.89,2.81,4.580,1.26
2025-05-22,170.570,169.590,175.490,169.430,74864418,12984061184.000,3.62,1.38,2.310,1.29
2025-05-23,167.775,167.190,168.680,166.610,35211439,5951555328.000,1.22,-1.42,-2.400,0.61
2025-05-27,168.880,171.620,171.890,168.720,37995670,6543572480.000,1.90,2.65,4.430,0.65
2025-05-28,171.880,171.080,173.985,170.631,34783997,6017269504.000,1.95,-0.31,-0.540,0.60
2025-05-29,172.720,170.580,173.139,169.350,29373803,5053341696.000,2.21,-0.29,-0.500,0.50
2025-05-30,170.070,170.460,170.925,166.160,52639911,8977800448.000,2.79,-0.07,-0.120,0.90
2025-06-02,166.560,167.750,168.590,166.110,38612272,6520242432.000,1.45,-1.59,-2.710,0.66
2025-06-03,166.210,164.900,167.195,164.000,45084903,7520260096.000,1.90,-1.70,-2.850,0.77
2025-06-04,165.455,166.770,166.935,165.080,26900838,4504301312.000,1.12,1.13,1.870,0.46
2025-06-05,169.060,166.930,169.650,166.310,36444564,6166235904.000,2.00,0.10,0.160,0.63
2025-06-06,169.550,172.400,173.220,169.550,35731832,6184054528.000,2.20,3.28,5.470,0.61
2025-06-09,173.470,175.020,175.400,173.300,28935906,5084551424.000,1.22,1.52,2.620,0.50
2025-06-10,175.130,177.530,180.035,173.840,61766121,11038984448.000,3.54,1.43,2.510,1.06
2025-06-11,178.700,176.280,179.300,175.680,31646757,5638757376.000,2.04,-0.70,-1.250,0.54
2025-06-12,175.110,174.630,175.650,173.675,20941873,3683547568.000,1.12,-0.94,-1.650,0.36
2025-06-13,171.370,173.600,176.060,171.315,27663107,4845387264.000,2.72,-0.59,-1.030,0.48
2025-06-16,173.660,175.700,175.870,173.580,27389208,4818026496.000,1.32,1.21,2.100,0.47
2025-06-17,174.630,174.880,176.295,173.510,24973043,4399672832.000,1.59,-0.47,-0.820,0.43
2025-06-18,174.940,172.250,175.490,172.130,28707524,5019512064.000,1.92,-1.50,-2.630,0.49
2025-06-20,172.875,165.570,173.270,164.390,75659917,12765744128.000,5.16,-3.88,-6.680,1.30
2025-06-23,165.200,164.120,166.270,160.930,57670985,9589186304.000,3.23,-0.88,-1.450,0.99
2025-06-24,165.850,165.700,167.150,165.060,40524312,6773682944.000,1.27,0.96,1.580,0.70
2025-06-25,166.560,169.610,171.290,166.480,35478989,6047633920.000,2.90,2.36,3.910,0.61
2025-06-26,171.360,172.470,172.620,168.870,31796690,5483076096.000,2.21,1.69,2.860,0.55
2025-06-27,172.470,177.460,177.610,170.660,108140200,19115084544.000,4.03,2.89,4.990,1.86
2025-06-30,179.710,175.160,180.160,173.510,63378856,11223428864.000,3.75,-1.30,-2.300,1.09
2025-07-01,174.665,174.770,175.020,172.460,35904526,6290365440.000,1.46,-0.22,-0.390,0.62
2025-07-02,174.470,177.570,177.790,174.000,29128947,5174235648.000,2.17,1.60,2.800,0.50
2025-07-03,177.430,178.460,178.600,175.980,21689729,3877336560.000,1.48,0.50,0.890,0.37
2025-07-07,177.990,175.720,178.227,174.610,34175648,6047975424.000,2.03,-1.54,-2.740,0.59
2025-07-08,176.780,173.290,176.880,171.740,40442535,7060590848.000,2.93,-1.38,-2.430,0.70
2025-07-09,174.180,175.550,178.370,171.700,43025594,7600342784.000,3.85,1.30,2.260,0.74
2025-07-10,174.560,176.550,177.359,173.310,29252386,5168684288.000,2.31,0.57,1.000,0.50
2025-07-11,175.715,179.120,180.360,175.410,34282922,6155005440.000,2.80,1.46,2.570,0.59
2025-07-14,179.940,180.490,182.600,178.610,32536632,5895028736.000,2.23,0.76,1.370,0.56
2025-07-15,181.740,180.930,183.150,180.530,33448251,6117395968.000,1.45,0.24,0.440,0.58
2025-07-16,182.165,181.900,183.257,180.960,33104193,6068692480.000,1.27,0.54,0.970,0.57
2025-07-17,181.070,182.510,182.990,179.410,31992565,5843903488.000,1.97,0.34,0.610,0.55
2025-07-18,184.330,183.990,185.350,182.640,34014509,6294194432.000,1.48,0.81,1.480,0.58
2025-07-21,185.180,189.030,189.215,185.080,45803129,8664800000.000,2.25,2.74,5.040,0.79
2025-07-22,190.425,190.270,190.575,186.390,44660215,8501409536.000,2.21,0.66,1.240,0.77
2025-07-23,190.430,189.160,191.460,188.110,58681948,11176279552.000,1.76,-0.58,-1.110,1.01
2025-07-24,195.960,191.100,196.880,189.930,74881687,14495036416.000,3.67,1.03,1.940,1.29
2025-07-25,190.910,192.110,193.260,190.190,39785863,7686233088.000,1.61,0.53,1.010,0.68
2025-07-28,192.580,191.510,192.980,189.770,38139504,7329226240.000,1.67,-0.31,-0.600,0.66
2025-07-29,191.360,194.680,194.850,191.010,41389153,8050877952.000,2.01,1.66,3.170,0.71
