trade_id,symbol,entry_time,exit_time,entry_price,exit_price,units,notional_entry_usd,notional_exit_usd,gross_pnl_usd,total_fee_usd,net_pnl_usd,net_ret_pct,duration_bars,exit_reason,stop_mode
70,ETHUSDT,2023-01-06 20:00:00,2023-01-12 12:00:00,1273.7565599999998,1363.9381621428572,3.872909693367584,4933.144128214548,5282.409329317039,349.26520110249135,8.17244276602527,341.0927583364661,0.0691430757892569,34,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
71,SOLUSDT,2023-01-14 00:00:00,2023-01-14 08:00:00,18.299145,21.283740714285713,473.56979690068295,8665.922381106147,10079.336767351082,1413.4143862449341,14.996207318765784,1398.4181789261684,0.16136980201612072,2,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
72,ETHUSDT,2023-01-12 20:00:00,2023-01-18 16:00:00,1426.5729299999998,1517.932537857143,3.6969370844812066,5273.950368634012,5611.7010909447445,337.7507223107331,8.708521167663006,329.04220114307014,0.06239008298219807,35,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
73,ETHUSDT,2023-01-21 00:00:00,2023-01-23 12:00:00,1659.3592649999998,1600.7089010714285,3.3764334779714638,5602.716174328121,5404.687122064483,-198.02905226363816,8.805922637114083,-206.83497490075226,-0.03691691109545737,15,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
74,SOLUSDT,2023-01-21 00:00:00,2023-01-23 12:00:00,25.522755,23.829915714285715,394.2821176147332,10063.16588876202,9395.70963040918,-667.4562583528408,15.56710041533696,-683.0233587681778,-0.06787360621083868,15,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
75,ETHUSDT,2023-02-16 16:00:00,2023-02-17 00:00:00,1725.00207,1630.0976089285716,3.128144037998914,5396.054940806285,5099.1801167261965,-296.87482408008873,8.396188046025985,-305.2710121261147,-0.05657299925128278,2,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
76,SOLUSDT,2023-02-20 04:00:00,2023-02-22 00:00:00,26.17308,24.46253678571429,358.41086603545347,9380.716269615206,8767.638994791996,-613.0772748232098,14.518684211525763,-627.5959590347355,-0.06690277597112308,11,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
77,ETHUSDT,2023-03-14 16:00:00,2023-03-15 16:00:00,1770.9150149999998,1619.6632839285714,2.874807832791658,5091.040356330356,4656.220695122916,-434.81966120743965,7.7978088411626185,-442.6174700486023,-0.08694047563347992,6,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
78,ETHUSDT,2023-03-18 00:00:00,2023-03-21 04:00:00,1790.15463,1724.7390050000001,2.5968676711221277,4648.794684956594,4478.918963207846,-169.87572174874808,7.302170918531552,-177.17789266727962,-0.03811265170316592,19,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
79,SOLUSDT,2023-03-20 08:00:00,2023-03-22 16:00:00,23.11155,21.419964642857142,378.75640063890387,8753.647491186059,8112.948709941155,-640.698781244904,13.493276960901772,-654.1920582058058,-0.07473365347011104,14,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
80,ETHUSDT,2023-04-04 12:00:00,2023-04-07 04:00:00,1865.8324499999999,1859.7005442857144,2.3966597974642125,4471.765621719155,4457.069529811886,-14.696091907269121,7.143068121224833,-21.839160028493954,-0.004883789061399413,16,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
81,SOLUSDT,2023-04-11 16:00:00,2023-04-17 12:00:00,23.33166,24.26212357142857,347.1679663731233,8100.004954309146,8423.032100186276,323.0271458771306,13.218429643596338,309.80871623353426,0.03824796626435619,35,INTRABAR_STOP_TOUCH,INTRABAR_STOP_TOUCH
