trade_id,symbol,entry_time,exit_time,entry_price,exit_price,units,notional_entry_usd,notional_exit_usd,gross_pnl_usd,total_fee_usd,net_pnl_usd,net_ret_pct,duration_bars,exit_reason,stop_mode
174,SOLUSDT,2023-04-27 16:00:00,2023-05-01 04:00:00,22.261125,22.16891,4086.476517694663,90969.5645699656,90592.73013788639,-376.8344320792113,145.2498357662816,-522.0842678454928,-0.0057391092319008805,21,EMA200_BREAKDOWN,BAR_CLOSE
175,SOLUSDT,2023-05-01 08:00:00,2023-05-01 12:00:00,22.35117,22.198895000000004,4046.674910212983,90447.91885290512,89831.71143095245,-616.2074219526655,144.22370422708605,-760.4311261797516,-0.008407392185733272,1,EMA200_BREAKDOWN,BAR_CLOSE
176,SOLUSDT,2023-05-02 20:00:00,2023-05-03 04:00:00,22.311149999999998,21.879055,4019.8791406481223,89688.12648887135,87951.15681159301,-1736.9696772783375,142.11142664037152,-1879.081103918709,-0.02095128059288727,2,EMA200_BREAKDOWN,BAR_CLOSE
177,SOLUSDT,2023-05-04 00:00:00,2023-05-04 08:00:00,22.251119999999997,22.098945,3946.3462429342853,87810.62381307992,87210.08857356141,-600.5352395185098,140.01656990931306,-740.5518094278228,-0.008433510403071675,2,EMA200_BREAKDOWN,BAR_CLOSE
178,SOLUSDT,2023-05-04 12:00:00,2023-05-04 16:00:00,22.261125,21.799095,3911.3339540194866,87070.69406717204,85263.54044039642,-1807.153626775618,137.86738760605476,-1945.0210143816728,-0.02233841173795119,1,EMA200_BREAKDOWN,BAR_CLOSE
179,ETHUSDT,2023-05-04 00:00:00,2023-05-04 20:00:00,1906.0725599999998,1875.7216700000001,18.94918838126228,36118.52800779485,35543.403275645884,-575.1247321489641,57.329545026752584,-632.4542771757167,-0.017510521941515027,5,EMA200_BREAKDOWN,BAR_CLOSE
180,ETHUSDT,2023-05-05 04:00:00,2023-05-06 16:00:00,1897.5282899999997,1876.3813400000001,18.70148928963371,35486.604992211964,35091.12553327855,-395.4794589334122,56.46218442039242,-451.94164335380464,-0.012735555949998305,9,EMA200_BREAKDOWN,BAR_CLOSE
181,SOLUSDT,2023-05-05 16:00:00,2023-05-06 16:00:00,22.33116,21.76911,3812.0414197221485,85127.30687044245,82984.74899048763,-2142.5578799548307,134.48964468874408,-2277.047524643575,-0.026748732085570086,6,EMA200_BREAKDOWN,BAR_CLOSE
182,ETHUSDT,2023-05-06 20:00:00,2023-05-08 00:00:00,1898.88897,1869.474795,18.450285157977707,35035.042979838574,34492.34306340192,-542.6999164366568,55.621908834592396,-598.3218252712493,-0.017077810511480242,7,EMA200_BREAKDOWN,BAR_CLOSE
183,SOLUSDT,2023-05-07 16:00:00,2023-05-08 00:00:00,22.47123,21.639174999999998,3687.0332449856814,82852.17206571958,79784.35761906303,-3067.8144466565627,130.1092237478261,-3197.9236704043888,-0.03859794608483828,2,EMA200_BREAKDOWN,BAR_CLOSE
184,ETHUSDT,2023-05-23 04:00:00,2023-05-24 04:00:00,1866.9430049999999,1821.0290300000001,18.445782036554757,34437.223744900555,33590.30456961873,-846.9191752818189,54.422022651615436,-901.3411979334343,-0.026173457088476952,6,EMA200_BREAKDOWN,BAR_CLOSE
185,SOLUSDT,2023-05-28 20:00:00,2023-05-29 04:00:00,20.780385,20.699645,3833.2752088663583,79656.93465119833,79347.43601083447,-309.4986403638648,127.20349652962625,-436.70213689349106,-0.005482286492767036,2,EMA200_BREAKDOWN,BAR_CLOSE
