symbol,entry_time,exit_time,entry_price,exit_price,units,leverage,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,slippage_cost_usdt,funding_cost_usdt,borrow_cost_usdt,net_pnl_usdt,gross_ret_pct,exit_reason,bars_held
BTCUSDT,2026-04-22 00:00:00,2026-04-22 04:00:00,76374.30807,77482.70926500001,1.3939090085843997,1.0,1545.010410836232,85.23525704017071,86.40307716320756,54.02893769583721,0.0,0.0,1373.3720766328538,1.4512749418091233,SIGNAL_EXIT,1
BNBUSDT,2026-04-22 04:00:00,2026-04-22 20:00:00,639.889785,643.77795,168.51512862038385,1.0,655.2146250722868,86.333954701477,86.78905923777364,54.27029717219296,0.0,0.0,482.0916111330362,0.6076304218546124,SIGNAL_EXIT,4
BTCUSDT,2026-04-22 20:00:00,2026-04-23 08:00:00,78886.04331,77181.78528360643,1.3730288757714713,1.0,-2339.9954820036655,86.71962799038342,84.77825590238817,159.19802685726185,0.0,0.0,-2511.493365896437,-2.1604050030704562,STOP_LOSS,4
BTCUSDT,2026-04-23 12:00:00,2026-04-28 08:00:00,77743.462305,76089.1713758282,1.3609289842752543,1.0,-2251.372473933538,84.71043329766626,82.8415669718813,155.5612799922685,0.0,0.0,-2418.9244742030855,-2.1278843006525077,STOP_LOSS,30
BTCUSDT,2026-04-28 12:00:00,2026-04-29 16:00:00,76267.104495,74888.77187004323,1.3555823646214251,1.0,-1868.4433989737627,82.77529371830379,81.21431876415014,152.50560609191456,0.0,0.0,-2032.4330114562167,-1.8072439409931165,STOP_LOSS,8
BTCUSDT,2026-04-29 20:00:00,2026-05-06 20:00:00,75601.65193499999,81424.12757000001,1.3406523825201173,1.0,7805.9158322281155,81.14934730913882,87.329160497074,54.6080293253193,0.0,0.0,7637.437324421903,7.70151906205173,SIGNAL_EXIT,42
BNBUSDT,2026-05-06 20:00:00,2026-05-07 00:00:00,650.76522,647.4161300000001,167.4749338381617,1.0,-560.8886261680377,87.25929716867634,86.74077883000697,54.24010682215581,0.0,0.0,-734.888702166721,-0.5146387509768781,SIGNAL_EXIT,1
BTCUSDT,2026-05-07 00:00:00,2026-05-07 08:00:00,81487.733505,81477.81071500001,1.328452230983078,1.0,-13.181952513053119,86.67138620694297,86.59150353596696,54.14676309151556,0.0,0.0,-186.44484225596307,-0.01217703520907658,SIGNAL_EXIT,2
SOLUSDT,2026-05-07 08:00:00,2026-05-07 12:00:00,90.215085,87.98826147964286,1197.873567220932,1.0,-2667.4530339016856,86.5222303331382,84.31905012175034,158.3357225621245,0.0,0.0,-2838.2943143565744,-2.468349412248676,STOP_LOSS,2
SOLUSDT,2026-05-07 16:00:00,2026-05-12 00:00:00,88.36415999999998,97.32131500000001,1190.8701673527428,1.0,10666.808673854492,84.25159488165293,92.71764054483121,57.977514097558604,0.0,0.0,10489.839438428007,10.136637976301738,SIGNAL_EXIT,26
BNBUSDT,2026-05-12 00:00:00,2026-05-12 00:00:00,670.9353,658.7364252642858,172.46326072582823,1.0,-2103.8577141071946,92.64346643239534,90.88626548796367,170.66774941404313,0.0,0.0,-2287.3874460275533,-1.818189434318657,STOP_LOSS,1
SOLUSDT,2026-05-12 04:00:00,2026-05-12 12:00:00,96.18807,94.922515,1179.2120586055116,1.0,-1492.3577168284887,90.81355647557332,89.54701945693006,55.99488460287643,0.0,0.0,-1672.718292760992,-1.3157089023617918,SIGNAL_EXIT,2
BNBUSDT,2026-05-12 12:00:00,2026-05-12 12:00:00,663.7316999999999,650.3176153071429,168.37338328102197,1.0,-2258.574823354509,89.47538184136452,87.59694167720782,164.491002147977,0.0,0.0,-2435.6471468730815,-2.021010099842609,STOP_LOSS,1
SOLUSDT,2026-05-12 16:00:00,2026-05-12 20:00:00,93.896925,94.87254,1164.2665964908724,1.0,1135.8759555354482,87.52686412386606,88.36554339699532,55.25609266945791,0.0,0.0,959.9835480145867,1.0390276358890398,SIGNAL_EXIT,1
BNBUSDT,2026-05-12 20:00:00,2026-05-17 20:00:00,663.401535,647.7541584117857,166.23456991531512,1.0,-2601.1349174447632,88.29485096227772,86.1433071475521,161.7613429160268,0.0,0.0,-2775.5730755545933,-2.358658483992538,STOP_LOSS,31
BNBUSDT,2026-05-21 04:00:00,2026-05-21 12:00:00,655.137405,647.45611,164.09827223159505,1.0,-1260.4872380011861,86.07439250183405,84.99714319743164,53.14978939309227,0.0,0.0,-1431.5587737004519,-1.1724708345724784,SIGNAL_EXIT,2
BNBUSDT,2026-05-22 04:00:00,2026-05-22 08:00:00,659.94981,659.160255,160.7341969052302,1.0,-126.90848883750103,84.9291454828737,84.7596753754174,53.00129775851555,0.0,0.0,-296.5973096957921,-0.11963864342955874,SIGNAL_EXIT,1
BNBUSDT,2026-05-25 16:00:00,2026-05-25 20:00:00,668.11389,662.038815,158.32651327794008,1.0,-961.845442651977,84.69186763511706,83.85463778688738,52.43536629995537,0.0,0.0,-1130.3919480739814,-0.9092873372232944,SIGNAL_EXIT,1
SOLUSDT,2026-07-07 00:00:00,2026-07-07 04:00:00,81.98097,81.009475,1276.5237474226724,1.0,-1240.1364380023947,83.78755407665787,82.72841488299463,51.731124864306814,0.0,0.0,-1406.6524069620473,-1.1850250125120554,SIGNAL_EXIT,1
ETHUSDT,2026-07-10 12:00:00,2026-07-13 00:00:00,1802.12061,1805.8966,57.290909045598895,1.0,216.32989964709628,82.66223215108823,82.76916628508503,51.75660723178944,0.0,0.0,50.898501210923015,0.20953037099997943,SIGNAL_EXIT,15
ETHUSDT,2026-07-14 16:00:00,2026-07-17 00:00:00,1876.15761,1863.7776450000001,55.05720051905403,1.0,-681.6062154238627,82.70295095205698,82.09150361895624,51.332856189937985,0.0,0.0,-846.400669994876,-0.659857409314341,SIGNAL_EXIT,14
ETHUSDT,2026-07-17 20:00:00,2026-07-19 00:00:00,1844.6818799999999,1861.678695,55.53817343815416,1.0,943.9720593662312,82.02583041606108,82.7153873992212,51.722978613811186,0.0,0.0,779.2308415509489,0.921395454917148,SIGNAL_EXIT,7
