event_idx,timestamp,symbol,close,U,L,atr14,ma_order_type,ma_cross_count_12,congestion_ratio,congestion_ratio_delta_3,price_location,dist_to_u,dist_to_l,dist_to_ma200,ma20_slope_3,ma20_slope_6,ma20_slope_12,ma50_slope_3,ma50_slope_6,ma50_slope_12,ma100_slope_3,ma100_slope_6,ma100_slope_12,ma200_slope_12,atr_ratio,vol_ratio_20,taker_buy_ratio,candle_body_ratio,upper_shadow_ratio,lower_shadow_ratio,long_net_r,long_exit_reason,long_bars_held,short_net_r,short_exit_reason,short_bars_held,action_label
6842,2024-01-24 18:10:00+00:00,BTCUSDT,39886.45,40069.335827943716,40034.01462159447,86.63212339335644,0,0,0.4077,-0.3725,-1,-2.1111,-1.7033,-0.6614,-0.1018,-0.0408,0.0103,-0.029,-0.0036,0.0156,-0.0081,0.0047,0.0138,0.0177,0.002172,1.6886,0.3434,0.8749,0.0778,0.0473,-1.12,SL,1,-0.244,TIME_12B,12,0
6845,2024-01-24 18:25:00+00:00,SOLUSDT,86.01,86.83448679992065,86.6316671298752,0.4611127016336315,2,1,0.4398,-0.5481,-1,-1.788,-1.3482,0.1327,-0.2041,-0.1563,-0.0685,-0.079,-0.0533,-0.0118,-0.0292,-0.0151,0.0066,0.0192,0.005361,1.456,0.596,0.5357,0.4643,0.0,-1.12,SL,1,-0.413,TIME_12B,12,0
6865,2024-01-24 20:05:00+00:00,SOLUSDT,87.08,86.51638910313507,86.38135066815603,0.3607629136998693,3,2,0.3743,-0.3971,1,1.5623,1.9366,2.9939,0.1248,0.0402,-0.0121,0.0279,-0.0085,-0.0305,0.014,-0.0039,-0.0137,0.0081,0.004143,1.1605,0.6184,0.8824,0.0588,0.0588,-1.551,SL,8,-1.02,SL,1,0
6903,2024-01-24 23:15:00+00:00,BTCUSDT,40068.01,39870.91719115382,39838.653805561604,69.8384468517356,1,2,0.462,-0.3241,1,2.8221,3.2841,2.7592,0.2519,0.1775,0.1257,0.1104,0.0744,0.0466,0.0442,0.0247,0.009,0.003,0.001743,2.2519,0.4792,0.5741,0.2558,0.1702,-0.567,TIME_12B,12,-1.02,SL,1,0
6922,2024-01-25 00:50:00+00:00,BNBUSDT,292.7,293.10580666764815,292.8820997262456,0.5969933666939008,1,0,0.3747,-0.4606,-1,-0.6798,-0.305,-1.4833,-0.0871,-0.0134,0.0084,-0.0155,0.0157,0.0244,-0.0094,0.0058,0.0089,-0.0072,0.00204,3.6088,0.4522,0.2308,0.0769,0.6923,-1.12,SL,1,0.543,TIME_12B,12,2
6933,2024-01-25 01:45:00+00:00,ETHUSDT,2216.81,2228.0236644070187,2226.0748685160765,4.607873624170672,0,0,0.4229,-0.5936,-1,-2.4336,-2.0107,-2.3066,-0.1753,-0.129,-0.0777,-0.0539,-0.0295,0.0003,-0.0215,-0.0086,0.0066,0.0003,0.002079,1.474,0.3251,0.993,0.0,0.007,-1.12,SL,1,-0.059,TIME_12B,12,0
6969,2024-01-25 04:45:00+00:00,BTCUSDT,39912.25,40000.31797187636,39984.63355668167,34.17725963830483,2,1,0.4589,-0.213,-1,-2.5768,-2.1179,-1.1723,-0.1195,-0.0917,-0.0811,-0.0541,-0.0406,-0.0307,-0.0165,-0.0089,-0.0022,0.0092,0.000856,0.9164,0.486,0.9958,0.0,0.0042,-1.12,SL,1,-0.438,TIME_12B,12,0
6994,2024-01-25 06:50:00+00:00,BTCUSDT,40017.83,39954.966774796885,39937.94061927863,49.07417075737581,5,0,0.3469,-0.3989,1,1.281,1.6279,1.5418,0.1335,0.1009,0.0718,0.0407,0.0227,0.0031,0.0161,0.0066,-0.0036,0.0008,0.001226,1.7634,0.5811,0.5564,0.2064,0.2372,-0.318,TIME_12B,12,-1.02,SL,1,0
6995,2024-01-25 06:55:00+00:00,SOLUSDT,88.46,87.71230518875385,87.57530519742507,0.3799658847405466,5,0,0.3606,-0.5516,1,1.9678,2.3284,2.9644,0.1736,0.0966,0.0417,0.049,0.0134,-0.0132,0.0221,0.004,-0.0087,0.0062,0.004295,1.4247,0.6228,0.525,0.475,0.0,-0.584,TIME_12B,12,-1.02,SL,1,0
6998,2024-01-25 07:10:00+00:00,ETHUSDT,2219.63,2217.4997666504746,2215.634372798409,3.772657857925431,4,1,0.4945,-0.0882,1,0.5647,1.0591,-0.3875,0.1353,0.1708,0.1206,0.0615,0.069,0.0375,0.0197,0.0219,0.004,-0.0086,0.0017,0.7634,0.529,0.7793,0.1899,0.0307,0.034,TIME_12B,12,-1.02,SL,1,0
7018,2024-01-25 08:50:00+00:00,SOLUSDT,87.75,87.94893904113776,87.84236362557282,0.21574890666497354,0,0,0.494,-0.2274,-1,-0.9221,-0.4281,1.2249,-0.0847,-0.0888,-0.008,-0.0213,-0.0189,0.0172,-0.0044,-0.0028,0.0152,0.025,0.002459,0.6638,0.7079,0.1667,0.0,0.8333,-1.12,SL,1,-1.573,SL,6,0
7032,2024-01-25 10:00:00+00:00,BNBUSDT,291.5,291.1875107411847,290.849524055699,0.8867648704062732,0,0,0.3811,-0.7025,1,0.3524,0.7335,0.007,-0.0938,-0.0691,-0.0238,-0.0223,-0.0077,0.0158,-0.0095,-0.0018,0.0096,-0.003,0.003042,7.4415,0.5865,0.6786,0.1786,0.1429,1.379,TP,4,-1.02,SL,1,1
7045,2024-01-25 11:05:00+00:00,SOLUSDT,87.87,87.70045751609267,87.56710437924288,0.3035202779901368,5,0,0.4394,-0.4849,1,0.5586,0.9979,1.2525,0.1453,0.1015,0.0037,0.0432,0.0203,-0.0229,0.0169,0.0049,-0.0163,-0.0007,0.003454,0.888,0.3988,0.2647,0.0882,0.6471,1.379,TP,3,-1.02,SL,1,1
7062,2024-01-25 12:30:00+00:00,ETHUSDT,2207.47,2227.1423545164653,2225.0077725518313,5.333792388439997,2,1,0.4002,-0.9085,-1,-3.6882,-3.288,-3.1358,-0.2887,-0.1966,-0.1007,-0.1068,-0.0619,-0.0147,-0.0433,-0.0195,0.0049,0.0045,0.002416,1.3536,0.4553,0.8495,0.0981,0.0524,-1.12,SL,1,-0.449,TIME_12B,12,0
7062,2024-01-25 12:30:00+00:00,BTCUSDT,39829.65,40105.76312559056,40064.04367828795,85.35936069166067,0,0,0.4888,-0.7698,-1,-3.2347,-2.746,-2.2159,-0.2132,-0.1239,-0.0307,-0.0713,-0.0302,0.0103,-0.0262,-0.0049,0.0153,0.0133,0.002143,4.0525,0.4489,0.8462,0.0,0.1538,-1.12,SL,1,-0.811,TIME_12B,12,0
7064,2024-01-25 12:40:00+00:00,SOLUSDT,87.3,88.09768399068004,87.92772605742331,0.4435663894963516,0,0,0.3832,-0.6445,-1,-1.7983,-1.4152,-0.8006,-0.2318,-0.161,-0.0217,-0.0781,-0.0419,0.0183,-0.0334,-0.0143,0.0154,0.0143,0.005081,0.389,0.4621,0.0833,0.25,0.6667,-1.12,SL,1,0.247,TIME_12B,12,0
7087,2024-01-25 14:35:00+00:00,SOLUSDT,88.24,87.65585613103184,87.42990621760849,0.47842949249087924,5,0,0.4723,-0.4776,1,1.221,1.6932,1.4298,0.1424,0.0835,0.0125,0.0401,0.0125,-0.0193,0.0145,0.0004,-0.0151,-0.0052,0.005422,1.7368,0.4469,0.1364,0.4091,0.4545,-1.472,SL,8,-1.02,SL,1,0
7089,2024-01-25 14:45:00+00:00,BTCUSDT,39963.83,40004.65617797108,39961.64976644783,87.61933669836563,5,0,0.4908,-0.1448,0,-0.4659,0.0249,-0.3549,0.0236,0.0648,0.0397,-0.0027,0.01,-0.0073,-0.0055,0.0005,-0.0085,-0.0029,0.002192,1.3237,0.5048,0.2325,0.1247,0.6428,-1.218,SL,4,-1.313,SL,1,0
7100,2024-01-25 15:40:00+00:00,BNBUSDT,292.4,293.5329308359928,293.0716444349361,0.9837179837827398,2,1,0.4689,-0.1815,-1,-1.1517,-0.6828,-0.2873,-0.0509,-0.031,-0.0222,-0.0192,-0.0102,-0.0053,0.0005,0.0054,0.0086,0.0083,0.003364,0.769,0.3775,0.9286,0.0714,0.0,-1.12,SL,1,0.267,TIME_12B,12,0
7135,2024-01-25 18:35:00+00:00,BTCUSDT,39896.42,39887.739673533644,39840.536805803706,102.09150869547187,5,0,0.4624,-0.3329,1,0.085,0.5474,-0.2993,0.0597,0.0925,0.0884,0.022,0.0316,0.0203,0.0013,0.0053,-0.0019,-0.0051,0.002559,0.8001,0.5941,0.6951,0.0914,0.2135,-1.502,SL,2,-1.079,SL,1,0
7138,2024-01-25 18:50:00+00:00,ETHUSDT,2212.48,2206.5181751289783,2203.064544536135,7.11424165276584,1,2,0.4855,-0.1099,1,0.838,1.3235,0.0749,0.051,0.117,0.1604,0.0389,0.0626,0.0669,0.0093,0.02,0.0189,0.0005,0.003216,1.0775,0.4983,0.7603,0.2255,0.0142,-0.178,TIME_12B,12,-1.02,SL,1,0
7147,2024-01-25 19:35:00+00:00,SOLUSDT,88.15,87.01208058468815,86.83769117511093,0.4657601045690278,4,1,0.3744,-0.2326,1,2.4431,2.8176,2.0701,0.1578,0.1026,0.0452,0.0668,0.0417,0.0165,0.0244,0.011,-0.0025,-0.0054,0.005284,1.5773,0.6583,0.8953,0.0465,0.0581,-0.798,TIME_12B,12,-1.02,SL,1,0
7152,2024-01-25 20:00:00+00:00,BTCUSDT,39953.5,39892.87924214376,39864.734973932274,66.78167860139214,1,2,0.4214,0.0152,1,0.9077,1.3292,0.5041,0.1214,0.1169,0.0765,0.062,0.0571,0.0347,0.0233,0.0198,0.0068,-0.0024,0.001671,0.85,0.4629,0.5587,0.1053,0.336,-1.63,SL,7,-1.02,SL,1,0
7152,2024-01-25 20:00:00+00:00,BNBUSDT,291.9,292.0450343668693,291.72860427792466,0.6411417949537376,5,0,0.4935,-0.0337,0,-0.2262,0.2673,-0.4498,0.0136,0.0555,0.0458,0.0008,0.0159,0.0046,-0.0079,-0.0007,-0.0075,-0.006,0.002196,0.3565,0.6028,0.1667,0.0,0.8333,-1.256,SL,1,-1.277,SL,6,0
7162,2024-01-25 20:50:00+00:00,SOLUSDT,86.77,87.25323081789529,87.10007197152264,0.3471673290149728,1,0,0.4412,-0.3605,-1,-1.3919,-0.9508,-1.3075,-0.1305,-0.0614,0.0204,-0.0282,0.0035,0.0378,-0.015,0.0008,0.0165,0.005,0.004001,1.2943,0.4602,0.1707,0.2927,0.5366,-1.12,SL,1,-1.682,SL,2,0
7166,2024-01-25 21:10:00+00:00,BNBUSDT,292.0,291.9302426689985,291.6325900760941,0.6260552614432989,5,0,0.4754,-0.2518,1,0.1114,0.5869,-0.1725,0.0797,-0.0033,-0.0085,0.0248,-0.0095,-0.0095,0.0044,-0.0129,-0.0127,-0.009,0.002144,1.0494,0.5735,0.0,0.4,0.6,-1.388,SL,1,-1.127,SL,4,0
7166,2024-01-25 21:10:00+00:00,BTCUSDT,39854.01,39879.32770191811,39856.73645791961,80.28497898969484,5,2,0.2814,-0.0148,-1,-0.3153,-0.034,-0.72,0.0019,-0.0702,-0.0495,-0.001,-0.0281,-0.0124,-0.0055,-0.0189,-0.0104,-0.0091,0.002014,0.7633,0.56,0.3171,0.0002,0.6827,-1.187,SL,1,-1.228,SL,3,0
7193,2024-01-25 23:25:00+00:00,BNBUSDT,291.5,291.85593400212696,291.74262919814606,0.5134327010674063,4,1,0.2207,-0.0273,-1,-0.6932,-0.4726,-1.0175,-0.009,0.0244,0.0356,0.0015,0.0133,0.014,-0.0037,0.0017,0.001,-0.003,0.001761,0.8918,0.2979,0.6667,0.1667,0.1667,-1.12,SL,1,-1.267,SL,2,0
7212,2024-01-26 01:00:00+00:00,BTCUSDT,39876.48,39919.97740415666,39906.628261259415,36.27661849557036,0,0,0.368,-0.2487,-1,-1.199,-0.8311,-1.0993,-0.0868,-0.0473,-0.0362,-0.0245,-0.0066,0.0018,-0.0072,0.0019,0.0063,0.0002,0.00091,1.7769,0.4567,0.333,0.0697,0.5973,-1.12,SL,1,-1.275,SL,6,0
7213,2024-01-26 01:05:00+00:00,ETHUSDT,2211.88,2216.6983418776454,2215.3234187145476,2.8511817863008586,2,1,0.4822,-0.1174,-1,-1.6899,-1.2077,-1.1535,-0.0803,-0.0517,-0.0905,-0.039,-0.0264,-0.037,-0.0088,-0.0018,-0.0054,-0.002,0.001289,1.9134,0.5089,0.7798,0.2202,0.0,-1.12,SL,1,-1.508,SL,4,0
