symbol,entry_time,exit_time,entry_price,exit_price,units,leverage,gross_pnl_usdt,entry_fee_usdt,exit_fee_usdt,entry_slippage_usdt,exit_slippage_usdt,slippage_cost_usdt,funding_cost_usdt,borrow_cost_usdt,net_pnl_usdt,gross_ret_pct,exit_reason,bars_held
BTCUSDT,2023-05-04 00:00:00,2023-05-08 00:00:00,29040.673079999997,28415.874955000003,18.1278176195121,1.0,-11326.226459013013,421.4924140449277,412.09423894648137,263.0904673373341,257.68774321310644,520.7782105504405,0.0,0.0,-12159.813112004422,-2.151458829066485,SIGNAL_EXIT,24
ETHUSDT,2023-05-28 20:00:00,2023-05-31 08:00:00,1849.6943849999998,1868.36535,278.04265615511395,1.0,5191.324701579237,411.7645635553242,415.5882116657433,257.01846070988995,259.8725685753549,516.8910292852448,0.0,0.0,4363.971926358169,1.0094081028418245,SIGNAL_EXIT,15
ETHUSDT,2023-06-07 00:00:00,2023-06-07 04:00:00,1885.592325,1876.531265,275.0618008743841,1.0,-2492.3514814308464,415.25574109641076,412.929655318389,259.1976115089492,258.21013964380165,517.4077511527508,0.0,0.0,-3320.5368778456464,-0.48054183716514637,SIGNAL_EXIT,1
BTCUSDT,2023-06-20 00:00:00,2023-06-29 12:00:00,26857.772175,30655.614525,19.187613061248765,1.0,72871.52947942376,412.59931159413424,470.5664557283979,257.53950034036086,294.25116041045123,551.7906607508121,0.0,0.0,71988.36371210121,14.1405710244841,SIGNAL_EXIT,57
SOLUSDT,2023-06-29 12:00:00,2023-07-18 20:00:00,18.069029999999998,25.287350000000004,32501.31928510857,1.0,234604.92302208507,470.1900025638152,657.4977889794322,293.48691314450457,411.1416889565312,704.6286021010358,0.0,0.0,233477.23523054182,39.94857499268088,SIGNAL_EXIT,116
SOLUSDT,2023-07-19 00:00:00,2023-07-24 04:00:00,25.55277,24.327830000000002,32112.28241183099,1.0,-39335.61921754814,656.9717907482487,624.9777179416116,410.073846399073,390.80647695190515,800.8803233509782,0.0,0.0,-40617.568726238,-4.79376599875472,SIGNAL_EXIT,31
SOLUSDT,2023-07-24 08:00:00,2023-07-24 12:00:00,24.582285,23.608190000000004,31729.055780343675,1.0,-30907.114590353707,624.4777357672583,599.2524619063615,389.791450261476,374.72014876576327,764.5115990272393,0.0,0.0,-32130.844788027327,-3.962589319910639,SIGNAL_EXIT,1
BNBUSDT,2023-08-02 00:00:00,2023-08-02 16:00:00,247.9239,243.17835000000002,3016.520601124412,1.0,-14315.049338665895,598.7730599368364,586.8420020179542,373.74690247929027,366.9597311267494,740.7066336060396,0.0,0.0,-15500.664400620686,-1.9141155814344564,SIGNAL_EXIT,4
BNBUSDT,2023-08-08 20:00:00,2023-08-09 12:00:00,246.5232,243.97795000000002,2970.8331223674218,1.0,-7561.5130047056255,586.3725284163398,579.8542199898422,366.0066406756577,362.590182584864,728.5968232605217,0.0,0.0,-8727.739753111808,-1.032458608358151,SIGNAL_EXIT,4
BTCUSDT,2023-08-09 12:00:00,2023-08-09 20:00:00,29903.26416,29401.501895,24.199984542112244,1.0,-12142.63905681517,579.3903366138503,569.2127130991071,361.64844099483037,355.93591364371264,717.584354638543,0.0,0.0,-13291.242106528127,-1.677951484878959,SIGNAL_EXIT,2
SOLUSDT,2023-08-10 16:00:00,2023-08-10 20:00:00,24.572279999999996,24.5877,28909.727600281953,1.0,445.7879995965207,568.7573429286278,568.6589674539621,355.0114549313745,355.58964948346096,710.6011044148354,0.0,0.0,-691.6283107860693,0.06275363946693586,SIGNAL_EXIT,1
BTCUSDT,2023-08-14 16:00:00,2023-08-14 20:00:00,29614.8,29345.859730000004,23.96392500741922,1.0,-6444.86446175497,568.2040402799989,562.593585478371,354.66609010978704,351.79688936859685,706.4629794783839,0.0,0.0,-7575.662087513339,-0.9081279292785889,SIGNAL_EXIT,1
BTCUSDT,2023-09-18 12:00:00,2023-09-21 16:00:00,27210.57849,26570.717995,25.80309878416978,1.0,-16510.383560572795,562.1435106099883,548.485488953042,350.88318078555295,342.9749180546615,693.8580988402144,0.0,0.0,-17621.012560135827,-2.3515137512976882,SIGNAL_EXIT,19
BTCUSDT,2023-09-27 12:00:00,2023-09-27 16:00:00,26780.073344999997,26291.267789999998,25.560435185648583,1.0,-12494.082706962457,548.0467005618797,537.6129970358602,342.0841224396324,336.17621125304413,678.2603336926766,0.0,0.0,-13579.742404560197,-1.825258462524943,SIGNAL_EXIT,1
ETHUSDT,2023-09-28 16:00:00,2023-09-30 16:00:00,1653.3962849999998,1682.4783400000001,405.79591019895827,1.0,11801.37897918129,537.1829066382315,546.194263496266,335.3030736586938,341.54218577798207,676.8452594366759,0.0,0.0,10718.001809046793,1.7589282898382896,SIGNAL_EXIT,12
SOLUSDT,2023-09-30 16:00:00,2023-10-10 04:00:00,21.45072,22.138925,31777.52904325592,1.0,21869.45437521394,545.7573080854689,562.8162657391717,340.6551113436772,351.93613415400114,692.5912454976783,0.0,0.0,20760.8808013893,3.2083072269835227,SIGNAL_EXIT,57
BTCUSDT,2023-10-10 04:00:00,2023-10-11 04:00:00,27646.13616,27002.531980000003,25.406629911335102,1.0,-16351.81321064817,562.3660127265804,548.8346693478807,351.0220639157532,343.19326497484894,694.2153288906022,0.0,0.0,-17463.013892722633,-2.328007705218489,SIGNAL_EXIT,6
SOLUSDT,2023-10-11 12:00:00,2023-10-11 16:00:00,22.15107,21.979005,30921.581052919362,1.0,-5320.521843870567,548.3956016124023,543.700467656016,342.3019022558215,339.98278367677557,682.2846859325971,0.0,0.0,-6412.617913138985,-0.7767796318642842,SIGNAL_EXIT,1
SOLUSDT,2023-10-16 00:00:00,2023-10-16 08:00:00,21.940965,22.808590000000002,30925.65065370106,1.0,26831.8676484175,543.2655072818912,564.2963889947997,339.0997594177944,352.8616739586648,691.9614333764592,0.0,0.0,25724.30575214081,3.954361168708869,SIGNAL_EXIT,2
BTCUSDT,2023-10-16 08:00:00,2023-10-19 20:00:00,27862.974524999998,28736.374625,25.27520327274251,1.0,22075.3650659337,563.8449518836038,581.0541679748438,351.945199851348,363.3405252468913,715.2857250982393,0.0,0.0,20930.465946075255,3.134626201579254,SIGNAL_EXIT,21
